figure,status,sources,note,png,pdf
block1_replicative_validity_bars,complete,outputs\surrogate_v3_rollout_prepared_15min\v3\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\raw_v35\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\calibrated_v35\all_full_rollouts.csv,"v3, raw_v35, and calibrated_v35 are computed from full rollout CSVs.",reports\figures\article_real\block1_replicative_validity_bars.png,reports\figures\article_real\block1_replicative_validity_bars.pdf
block1_predictive_validity_horizon_lines,complete,outputs\surrogate_v3_rollout_prepared_15min\v3\horizon_metrics.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\raw_v35\horizon_metrics.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\calibrated_v35\horizon_metrics.csv,All three models use their own real horizon_metrics.csv.,reports\figures\article_real\block1_predictive_validity_horizon_lines.png,reports\figures\article_real\block1_predictive_validity_horizon_lines.pdf
block1_rollout_24h_temperature_trace,complete,outputs\surrogate_v3_rollout_prepared_15min\v3\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\raw_v35\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\calibrated_v35\all_full_rollouts.csv,Peak and typical traces are selected programmatically as calibrated-v3.5 lower-median RMSE episodes; bottom panel shows all per-episode RMSE values.,reports\figures\article_real\block1_rollout_24h_temperature_trace.png,reports\figures\article_real\block1_rollout_24h_temperature_trace.pdf
block1_temperature_residual_histograms,complete,outputs\surrogate_v3_rollout_prepared_15min\v3\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\raw_v35\all_full_rollouts.csv | outputs\surrogate_v35_rollout_prepared_15min_power_head_only\calibrated_v35\all_full_rollouts.csv,Residuals are computed from all three full rollout CSVs.,reports\figures\article_real\block1_temperature_residual_histograms.png,reports\figures\article_real\block1_temperature_residual_histograms.pdf
block1_stage_abc_calibration_diagnostics,complete,outputs\surrogate_v35_inverse_boptest_15min_episodeaware\stage_b_history_v35.csv | outputs\surrogate_v35_inverse_boptest_15min_episodeaware\stage_c_history_v35.csv | outputs\surrogate_v35_inverse_boptest_15min_episodeaware\calibration_summary_boptest_v35.json,Stage B C_zon convergence and Stage C residual-head validation curves from real calibration histories.,reports\figures\article_real\block1_stage_abc_calibration_diagnostics.png,reports\figures\article_real\block1_stage_abc_calibration_diagnostics.pdf
block2_warmstart_negative_eval_kpis,complete,outputs\block2_thermostatic_warmstart_utility\scratch_eval\summary.csv | outputs\block2_thermostatic_warmstart_utility\warmstart_eval\summary.csv | outputs\block2_thermostatic_warmstart_utility\scratch_eval\traces\peak_heat_window_thermostatic.csv | outputs\block2_thermostatic_warmstart_utility\warmstart_eval\traces\peak_heat_window_thermostatic.csv,Uses real scratch/warm-start BOPTEST eval traces and summaries; no training reward logs were available.,reports\figures\article_real\block2_warmstart_negative_eval_kpis.png,reports\figures\article_real\block2_warmstart_negative_eval_kpis.pdf
block2_thermostatic_pure_v3_vs_hybrid_kpis,complete,outputs\bestest_air_article7_style_15min\summary.csv | outputs\block2_thermostatic_hybrid_v3_v35_l010\summary.csv,Pure v3 and hybrid_l010 values come from live BOPTEST summary.csv files.,reports\figures\article_real\block2_thermostatic_pure_v3_vs_hybrid_kpis.png,reports\figures\article_real\block2_thermostatic_pure_v3_vs_hybrid_kpis.pdf
block2_hdrl_lambda_sweep_sensitivity,complete,reports\block2_hdrl_lambda_sweep_summary.csv,Real HDRL lambda sweep.,reports\figures\article_real\block2_hdrl_lambda_sweep_sensitivity.png,reports\figures\article_real\block2_hdrl_lambda_sweep_sensitivity.pdf
block2_hdrl_l000_winter_tracking,complete,outputs\block2_hdrl_hybrid_v3_v35_l000\traces\peak_heat_window_hdrl.csv,Trace contains actual zone temperature and commanded supply; explicit high-level setpoint is not logged.,reports\figures\article_real\block2_hdrl_l000_winter_tracking.png,reports\figures\article_real\block2_hdrl_l000_winter_tracking.pdf
block2_morl_pareto_energy_vs_ms,complete,reports\morl_pareto_front_table.csv | reports\morl_canonical_seedfix_yearly_summary.csv,Seed42 sweep points plus N=5 canonical mean +/- 95% CI from seedfix runs; PI baseline included.,reports\figures\article_real\block2_morl_pareto_energy_vs_ms.png,reports\figures\article_real\block2_morl_pareto_energy_vs_ms.pdf
block2_morl_5d_vs_17d_radar,complete,reports\block2_morl_comparison_summary.csv | reports\morl_pareto_front_table.csv,Real 5D/17D MORL metrics plus PI baseline; all axes are min-max scores with 1.0 as best.,reports\figures\article_real\block2_morl_5d_vs_17d_radar.png,reports\figures\article_real\block2_morl_5d_vs_17d_radar.pdf
block2_morl_17d_seasonal_heatmap,complete,outputs\morl_hybrid_v3_v35_power_only_17d\seed42\yearly_eval\morl_yearly_summary.csv,Real monthly MORL 17D yearly validation table.,reports\figures\article_real\block2_morl_17d_seasonal_heatmap.png,reports\figures\article_real\block2_morl_17d_seasonal_heatmap.pdf
